cap_uF,esr_mohm,tau_ms,v_esr_drop,v_cap_drop,vmin_v,regulator_current_peak_a,pass_3p4v
220,5,0.05,0.01,0.1855428509226298,3.80445714907737,2.9999999940226547,True
220,5,0.1,0.01,0.3753716151140364,3.6146283848859637,2.999868340203689,True
220,5,0.2,0.01,0.7550399119656611,3.234960088034339,2.980459953702652,False
220,5,0.5,0.01,1.8940689874093335,2.0959310125906665,2.607527678613823,False
220,5,1.0,0.01,3.782878175249912,0.2071218247500881,1.9331496206028174,False
220,10,0.05,0.02,0.1855428509226298,3.7944571490773704,2.9999999940226547,True
220,10,0.1,0.02,0.3753716151140364,3.6046283848859635,2.999868340203689,True
220,10,0.2,0.02,0.7550399119656611,3.2249600880343388,2.980459953702652,False
220,10,0.5,0.02,1.8940689874093335,2.0859310125906667,2.607527678613823,False
220,10,1.0,0.02,3.782878175249912,0.19712182475008788,1.9331496206028174,False
220,20,0.05,0.04,0.1855428509226298,3.77445714907737,2.9999999940226547,True
220,20,0.1,0.04,0.3753716151140364,3.5846283848859635,2.999868340203689,True
220,20,0.2,0.04,0.7550399119656611,3.2049600880343387,2.980459953702652,False
220,20,0.5,0.04,1.8940689874093335,2.0659310125906662,2.607527678613823,False
220,20,1.0,0.04,3.782878175249912,0.17712182475008786,1.9331496206028174,False
220,30,0.05,0.06,0.1855428509226298,3.7544571490773704,2.9999999940226547,True
220,30,0.1,0.06,0.3753716151140364,3.5646283848859635,2.999868340203689,True
220,30,0.2,0.06,0.7550399119656611,3.1849600880343387,2.980459953702652,False
220,30,0.5,0.06,1.8940689874093335,2.0459310125906667,2.607527678613823,False
220,30,1.0,0.06,3.782878175249912,0.15712182475008785,1.9331496206028174,False
220,50,0.05,0.1,0.1855428509226298,3.7144571490773703,2.9999999940226547,True
220,50,0.1,0.1,0.3753716151140364,3.5246283848859634,2.999868340203689,True
220,50,0.2,0.1,0.7550399119656611,3.1449600880343387,2.980459953702652,False
220,50,0.5,0.1,1.8940689874093335,2.0059310125906666,2.607527678613823,False
220,50,1.0,0.1,3.782878175249912,0.11712182475008781,1.9331496206028174,False
220,75,0.05,0.15,0.1855428509226298,3.6644571490773705,2.9999999940226547,True
220,75,0.1,0.15,0.3753716151140364,3.4746283848859636,2.999868340203689,True
220,75,0.2,0.15,0.7550399119656611,3.094960088034339,2.980459953702652,False
220,75,0.5,0.15,1.8940689874093335,1.9559310125906666,2.607527678613823,False
220,75,1.0,0.15,3.782878175249912,0.06712182475008799,1.9331496206028174,False
220,100,0.05,0.2,0.1855428509226298,3.61445714907737,2.9999999940226547,True
220,100,0.1,0.2,0.3753716151140364,3.4246283848859633,2.999868340203689,True
220,100,0.2,0.2,0.7550399119656611,3.0449600880343386,2.980459953702652,False
220,100,0.5,0.2,1.8940689874093335,1.9059310125906663,2.607527678613823,False
220,100,1.0,0.2,3.782878175249912,0.017121824750087722,1.9331496206028174,False
220,150,0.05,0.3,0.1855428509226298,3.51445714907737,2.9999999940226547,True
220,150,0.1,0.3,0.3753716151140364,3.3246283848859637,2.999868340203689,False
220,150,0.2,0.3,0.7550399119656611,2.944960088034339,2.980459953702652,False
220,150,0.5,0.3,1.8940689874093335,1.8059310125906667,2.607527678613823,False
220,150,1.0,0.3,3.782878175249912,-0.08287817524991192,1.9331496206028174,False
470,5,0.05,0.01,0.08684984511272031,3.90315015488728,2.9999999940226547,True
470,5,0.1,0.01,0.17570586239380426,3.814294137606196,2.999868340203689,True
470,5,0.2,0.01,0.3534229375158413,3.636577062484159,2.980459953702652,True
470,5,0.5,0.01,0.8865854834681987,3.1034145165318017,2.607527678613823,False
470,5,1.0,0.01,1.7707089330957033,2.219291066904297,1.9331496206028174,False
470,10,0.05,0.02,0.08684984511272031,3.89315015488728,2.9999999940226547,True
470,10,0.1,0.02,0.17570586239380426,3.804294137606196,2.999868340203689,True
470,10,0.2,0.02,0.3534229375158413,3.6265770624841585,2.980459953702652,True
470,10,0.5,0.02,0.8865854834681987,3.0934145165318014,2.607527678613823,False
470,10,1.0,0.02,1.7707089330957033,2.2092910669042967,1.9331496206028174,False
470,20,0.05,0.04,0.08684984511272031,3.8731501548872798,2.9999999940226547,True
470,20,0.1,0.04,0.17570586239380426,3.784294137606196,2.999868340203689,True
470,20,0.2,0.04,0.3534229375158413,3.606577062484159,2.980459953702652,True
470,20,0.5,0.04,0.8865854834681987,3.0734145165318014,2.607527678613823,False
470,20,1.0,0.04,1.7707089330957033,2.1892910669042966,1.9331496206028174,False
470,30,0.05,0.06,0.08684984511272031,3.8531501548872797,2.9999999940226547,True
470,30,0.1,0.06,0.17570586239380426,3.764294137606196,2.999868340203689,True
470,30,0.2,0.06,0.3534229375158413,3.5865770624841584,2.980459953702652,True
470,30,0.5,0.06,0.8865854834681987,3.0534145165318014,2.607527678613823,False
470,30,1.0,0.06,1.7707089330957033,2.1692910669042966,1.9331496206028174,False
470,50,0.05,0.1,0.08684984511272031,3.8131501548872797,2.9999999940226547,True
470,50,0.1,0.1,0.17570586239380426,3.7242941376061958,2.999868340203689,True
470,50,0.2,0.1,0.3534229375158413,3.5465770624841584,2.980459953702652,True
470,50,0.5,0.1,0.8865854834681987,3.0134145165318014,2.607527678613823,False
470,50,1.0,0.1,1.7707089330957033,2.1292910669042966,1.9331496206028174,False
470,75,0.05,0.15,0.08684984511272031,3.76315015488728,2.9999999940226547,True
470,75,0.1,0.15,0.17570586239380426,3.674294137606196,2.999868340203689,True
