battery_oc_v,efficiency,source_r_ohm,bms_limit_a,input_current_a,source_sag_v,battery_terminal_v,current_margin_a,bms_pass,voltage_margin_to_6v_cutoff_v
6.0,0.85,0.05,3.0,3.066666666666667,0.15333333333333335,5.846666666666667,-0.06666666666666687,False,-0.15333333333333332
6.0,0.85,0.05,4.0,3.066666666666667,0.15333333333333335,5.846666666666667,0.9333333333333331,True,-0.15333333333333332
6.0,0.85,0.05,5.0,3.066666666666667,0.15333333333333335,5.846666666666667,1.9333333333333331,True,-0.15333333333333332
6.0,0.85,0.05,6.0,3.066666666666667,0.15333333333333335,5.846666666666667,2.933333333333333,True,-0.15333333333333332
6.0,0.85,0.1,3.0,3.066666666666667,0.3066666666666667,5.693333333333333,-0.06666666666666687,False,-0.30666666666666664
6.0,0.85,0.1,4.0,3.066666666666667,0.3066666666666667,5.693333333333333,0.9333333333333331,True,-0.30666666666666664
6.0,0.85,0.1,5.0,3.066666666666667,0.3066666666666667,5.693333333333333,1.9333333333333331,True,-0.30666666666666664
6.0,0.85,0.1,6.0,3.066666666666667,0.3066666666666667,5.693333333333333,2.933333333333333,True,-0.30666666666666664
6.0,0.85,0.15,3.0,3.066666666666667,0.46,5.54,-0.06666666666666687,False,-0.45999999999999996
6.0,0.85,0.15,4.0,3.066666666666667,0.46,5.54,0.9333333333333331,True,-0.45999999999999996
6.0,0.85,0.15,5.0,3.066666666666667,0.46,5.54,1.9333333333333331,True,-0.45999999999999996
6.0,0.85,0.15,6.0,3.066666666666667,0.46,5.54,2.933333333333333,True,-0.45999999999999996
6.0,0.85,0.2,3.0,3.066666666666667,0.6133333333333334,5.386666666666667,-0.06666666666666687,False,-0.6133333333333333
6.0,0.85,0.2,4.0,3.066666666666667,0.6133333333333334,5.386666666666667,0.9333333333333331,True,-0.6133333333333333
6.0,0.85,0.2,5.0,3.066666666666667,0.6133333333333334,5.386666666666667,1.9333333333333331,True,-0.6133333333333333
6.0,0.85,0.2,6.0,3.066666666666667,0.6133333333333334,5.386666666666667,2.933333333333333,True,-0.6133333333333333
6.0,0.85,0.25,3.0,3.066666666666667,0.7666666666666667,5.233333333333333,-0.06666666666666687,False,-0.7666666666666666
6.0,0.85,0.25,4.0,3.066666666666667,0.7666666666666667,5.233333333333333,0.9333333333333331,True,-0.7666666666666666
6.0,0.85,0.25,5.0,3.066666666666667,0.7666666666666667,5.233333333333333,1.9333333333333331,True,-0.7666666666666666
6.0,0.85,0.25,6.0,3.066666666666667,0.7666666666666667,5.233333333333333,2.933333333333333,True,-0.7666666666666666
6.0,0.9,0.05,3.0,2.896296296296296,0.1448148148148148,5.855185185185185,0.10370370370370408,True,-0.14481481481481495
6.0,0.9,0.05,4.0,2.896296296296296,0.1448148148148148,5.855185185185185,1.103703703703704,True,-0.14481481481481495
6.0,0.9,0.05,5.0,2.896296296296296,0.1448148148148148,5.855185185185185,2.103703703703704,True,-0.14481481481481495
6.0,0.9,0.05,6.0,2.896296296296296,0.1448148148148148,5.855185185185185,3.103703703703704,True,-0.14481481481481495
6.0,0.9,0.1,3.0,2.896296296296296,0.2896296296296296,5.71037037037037,0.10370370370370408,True,-0.2896296296296299
6.0,0.9,0.1,4.0,2.896296296296296,0.2896296296296296,5.71037037037037,1.103703703703704,True,-0.2896296296296299
6.0,0.9,0.1,5.0,2.896296296296296,0.2896296296296296,5.71037037037037,2.103703703703704,True,-0.2896296296296299
6.0,0.9,0.1,6.0,2.896296296296296,0.2896296296296296,5.71037037037037,3.103703703703704,True,-0.2896296296296299
6.0,0.9,0.15,3.0,2.896296296296296,0.43444444444444436,5.565555555555556,0.10370370370370408,True,-0.43444444444444397
6.0,0.9,0.15,4.0,2.896296296296296,0.43444444444444436,5.565555555555556,1.103703703703704,True,-0.43444444444444397
6.0,0.9,0.15,5.0,2.896296296296296,0.43444444444444436,5.565555555555556,2.103703703703704,True,-0.43444444444444397
6.0,0.9,0.15,6.0,2.896296296296296,0.43444444444444436,5.565555555555556,3.103703703703704,True,-0.43444444444444397
