rf_ohm,cf_f,fc_hz,vout_3uA_mV,fc_pass,gain_pass
46232.877982285136,9.732853900611204e-08,35.369506348249814,138.6986339468554,True,True
45824.75613611178,1.0494106629909224e-07,33.09592292201221,137.47426840833532,True,True
47549.47465894059,9.684922567992742e-08,34.560359843856006,142.6484239768218,True,True
45876.87567801188,9.674429736083436e-08,35.85922697284287,137.63062703403565,True,True
46015.677586334896,1.0329887630242384e-07,33.482564410102384,138.04703275900468,True,True
49316.526075920556,9.821553908395222e-08,32.858478537086285,147.94957822776166,True,True
46626.537600996024,9.501096142338804e-08,35.92636286888012,139.87961280298808,True,True
44921.079187599615,9.565371938549513e-08,37.039753575159466,134.76323756279885,True,True
45177.22316539587,9.980219359028201e-08,35.298846313031625,135.53166949618762,True,True
48982.26294345768,1.0331650754692511e-07,31.449342425513937,146.94678883037304,True,True
45875.96984833303,9.553765745223393e-08,36.31284573471839,137.62790954499908,True,True
47990.54369535763,9.679936334819926e-08,34.26036302864631,143.97163108607288,True,True
47944.96807021335,9.642348577909503e-08,34.42661085035921,143.83490421064005,True,True
47231.868454701245,9.972311795057318e-08,33.7900750721049,141.69560536410376,True,True
47939.7108456359,1.0042419377045406e-07,33.058745387726105,143.8191325369077,True,True
45573.44209687209,9.592085336396161e-08,36.40786954460879,136.72032629061624,True,True
44688.935858086574,9.881794324940648e-08,36.03996063303292,134.06680757425974,True,True
46330.91766942284,9.935938678445756e-08,34.57325957356331,138.99275300826852,True,True
47497.66136426992,1.0266923649178679e-07,32.63680017403218,142.49298409280976,True,True
44795.180701880454,9.57112342159404e-08,37.12153465142878,134.38554210564135,True,True
48019.48155567611,9.860853849405554e-08,33.61151921796133,144.05844466702834,True,True
49246.66635396713,1.0272470881541132e-07,31.460699573714326,147.7399990619014,True,True
44759.98153853164,9.545462664554452e-08,37.25059804666409,134.27994461559493,True,True
45280.59920975128,1.0031992503805178e-07,35.03650418427494,135.84179762925382,True,True
48413.619442753225,9.763951894120817e-08,33.66874656152074,145.24085832825966,True,True
47730.59520801216,1.0433420664541002e-07,31.95924885819079,143.19178562403647,True,True
48263.67627295656,9.680155744332274e-08,34.065705500005784,144.79102881886968,True,True
48689.51714188729,9.80360064022298e-08,33.34256853302977,146.0685514256619,True,True
49071.277522013916,9.524220983912319e-08,34.053621420786776,147.21383256604176,True,True
47397.4690589375,1.0482967910990248e-07,32.031754223253856,142.1924071768125,True,True
49326.71441398022,1.0211642318148217e-07,31.59674524227793,147.98014324194068,True,True
45899.00541279883,9.832415744994561e-08,35.26603410416425,137.69701623839651,True,True
49167.863308303255,9.663763818138712e-08,33.49596459504493,147.5035899249098,True,True
45351.260335328836,1.045393617261279e-07,33.56996795313815,136.0537810059865,True,True
46615.69654665371,1.0346900048886254e-07,32.997246405152346,139.84708963996113,True,True
48532.1290258497,9.586963003463889e-08,34.206586414520544,145.5963870775491,True,True
49084.65850945426,9.618586074768872e-08,33.7103391620739,147.2539755283628,True,True
47579.25677553726,9.750579872481182e-08,34.306154068630036,142.73777032661178,True,True
45910.624831726826,9.964108698038381e-08,34.79112494883818,137.73187449518048,True,True
45809.37590179872,9.720822503441207e-08,35.740674422291235,137.42812770539618,True,True
48624.491226341226,1.0427474868385626e-07,31.389609262129888,145.87347367902368,True,True
45926.84161509011,1.018736634149487e-07,34.01665675272868,137.78052484527035,True,True
47615.83216717486,1.0118517062676875e-07,33.0332941422856,142.8474965015246,True,True
47291.246720201794,9.507779773133104e-08,35.396494577378036,141.8737401606054,True,True
46843.26359248979,1.008599512974319e-07,33.68637140266953,140.52979077746937,True,True
45957.198293520494,9.689861588999517e-08,35.7395445137037,137.8715948805615,True,True
47295.04030404821,9.835309539795579e-08,34.21499643045029,141.88512091214463,True,True
47532.476191388145,9.626715045247216e-08,34.78176172482138,142.59742857416444,True,True
45775.35996076751,9.97905836417307e-08,34.84165698675565,137.32607988230257,True,True
49043.219928080514,1.0312410052203702e-07,31.468857954951318,147.12965978424157,True,True
46295.76187304027,9.974534407960115e-08,34.46563332595154,138.8872856191208,True,True
48930.173942850015,9.598970572940122e-08,33.88587556606098,146.79052182855006,True,True
44956.938991345814,1.0017087056576501e-07,35.34125356240122,134.87081697403744,True,True
46063.602274317556,1.0052674719543117e-07,34.37008481565583,138.19080682295268,True,True
47291.99686271492,9.686001942817546e-08,34.7446489234001,141.87599058814476,True,True
46674.10318017206,1.0150181118964878e-07,33.594668335693086,140.02230954051618,True,True
47494.5813637502,1.0317348988932305e-07,32.479396174811725,142.4837440912506,True,True
45609.73669809205,9.935735685712913e-08,35.120649333636706,136.82921009427614,True,True
47743.159084075814,9.606281317587099e-08,34.70193394645194,143.22947725222747,True,True
