battery_v,r_top_ohm,r_bottom_ohm,ratio,adc_v,adc_pass
7.605230097473616,9936.157921450833,3281.8488230635626,0.2482862118696953,1.8882737712991176,True
6.5213922107409115,10076.72969372832,3323.4720447982418,0.24801656793293014,1.6174133142525047,True
7.574839705566282,10060.612839284877,3275.2168370352647,0.24559528102334166,1.8603448861953176,True
7.316965704037823,10023.52914979376,3304.6687440828055,0.24794565404833047,1.8142098471368608,True
7.89322341462036,10047.087944068258,3317.736153276593,0.24824390722326958,1.959444621031556,True
6.5859084140904605,9952.277032402866,3322.00641198089,0.2502588125302089,1.6481816191429899,True
6.826934911027921,10078.447432685309,3290.1687621444057,0.24611139359486378,1.680186464934509,True
7.158574712894432,10089.153746840439,3311.6902968328873,0.24712550090427848,1.7690663616847382,True
6.294735246216501,9961.683320825505,3296.3755621137298,0.2486318390360733,1.5650716005119982,True
6.195683429236819,10044.810947690277,3301.245563781416,0.24735737938347616,1.5325480165456484,True
7.65172357670783,9906.41527146633,3272.277543898316,0.24830061598243378,1.8999276774238656,True
6.1462889721044505,10050.248144056377,3283.0931500235997,0.24623183923757339,1.5134120380868932,True
6.095312118668456,9932.735124509814,3286.970001961812,0.24864170346582556,1.5155487883416152,True
7.37415192160222,9926.463988366728,3320.46494236107,0.25065922522305256,1.8483992073458966,True
6.757425185700935,10098.974750276635,3317.6331636289124,0.24727808883722205,1.6709631853806375,True
8.142417226475699,10023.289583895288,3281.9802635786687,0.24666769642419253,2.0084713005794232,True
8.366396447463258,9992.323881857383,3285.746800393402,0.2474566432897185,2.0703203813202835,True
6.672523795608724,10001.85537922915,3272.6791233191498,0.24653814585294095,1.6450316447290028,True
6.778229415551465,10044.824909899315,3325.9427790325026,0.24874733122359785,1.6860664775397143,True
7.494927256986583,10083.379410349718,3320.580560306863,0.24773130982009392,1.85672814637961,True
7.197041273478259,10073.87197740419,3290.4248374444496,0.246210098670404,1.7719842420780523,True
7.349468831268323,9949.059960017956,3301.63541158331,0.24916695456295346,1.831244766342477,True
6.37798571235477,9921.88304988706,3272.4420719018017,0.2480189052259863,1.5818610339252124,True
