cap_uF,pulse_ms,ideal_droop_v,vmin_ideal_v,pass_3p4v
470,0.1,0.4255319148936171,3.574468085106383,True
470,0.25,1.0638297872340425,2.9361702127659575,False
470,0.5,2.127659574468085,1.872340425531915,False
470,1.0,4.25531914893617,-0.25531914893617014,False
470,2.0,8.51063829787234,-4.51063829787234,False
1000,0.1,0.2,3.8,True
1000,0.25,0.5,3.5,True
1000,0.5,1.0,3.0,False
1000,1.0,2.0,2.0,False
1000,2.0,4.0,0.0,False
2200,0.1,0.09090909090909093,3.909090909090909,True
2200,0.25,0.22727272727272732,3.7727272727272725,True
2200,0.5,0.45454545454545464,3.5454545454545454,True
2200,1.0,0.9090909090909093,3.090909090909091,False
2200,2.0,1.8181818181818186,2.1818181818181817,False
3300,0.1,0.06060606060606061,3.9393939393939394,True
3300,0.25,0.15151515151515152,3.8484848484848486,True
3300,0.5,0.30303030303030304,3.696969696969697,True
3300,1.0,0.6060606060606061,3.393939393939394,False
3300,2.0,1.2121212121212122,2.787878787878788,False
4700,0.1,0.0425531914893617,3.9574468085106385,True
4700,0.25,0.10638297872340426,3.893617021276596,True
4700,0.5,0.2127659574468085,3.7872340425531914,True
4700,1.0,0.425531914893617,3.574468085106383,True
4700,2.0,0.851063829787234,3.148936170212766,False
6800,0.1,0.029411764705882356,3.9705882352941178,True
6800,0.25,0.07352941176470588,3.926470588235294,True
6800,0.5,0.14705882352941177,3.8529411764705883,True
6800,1.0,0.29411764705882354,3.7058823529411766,True
6800,2.0,0.5882352941176471,3.411764705882353,True
10000,0.1,0.02,3.98,True
10000,0.25,0.05,3.95,True
10000,0.5,0.1,3.9,True
10000,1.0,0.2,3.8,True
10000,2.0,0.4,3.6,True
