scenario_name,crash_event,detected,false_activation,missed_event,time_to_detection_min,detection_lead_time_min,min_do_mg_l,peak_crash_score,aerator_samples,total_samples,fail_safe_activation
generated_0080,True,True,False,False,-320.0,320.0,3.205,74.73094896120321,29,109,False
generated_0081,False,True,True,False,,,4.150159915497353,66.17880764819918,19,73,True
generated_0082,True,True,False,False,5.0,-5.0,3.9880194308169044,43.63194568667018,14,73,False
generated_0083,True,True,False,False,0.0,0.0,2.867,82.46954831523885,24,109,False
generated_0084,False,False,False,False,,,5.463249078781287,18.285323505952935,0,109,False
generated_0085,True,True,False,False,-410.0,410.0,3.412,92.5,49,109,True
generated_0086,True,True,False,False,0.0,0.0,2.809,83.33130069073182,24,73,False
generated_0087,True,True,False,False,-300.0,300.0,3.485,95.90959769934085,32,73,True
generated_0088,False,True,True,False,,,4.050403101401851,80.6361542467051,41,145,True
generated_0089,False,False,False,False,,,4.1326112320804524,54.97539294689513,0,109,False
generated_0090,False,False,False,False,,,5.380474276482917,19.710724329494987,0,73,False
generated_0091,False,True,True,False,,,5.763,95.0,41,109,True
generated_0092,False,False,False,False,,,5.652922341821609,17.443787107273156,0,73,False
generated_0093,False,True,True,False,,,4.0093480475219225,41.463446726571526,13,145,False
generated_0094,False,False,False,False,,,6.023817995624059,19.95744857452706,0,73,False
generated_0095,False,True,True,False,,,7.406539239435374,76.8237077124237,22,73,True
generated_0096,False,True,True,False,,,5.325668838816783,73.97895518791266,18,145,True
generated_0097,True,True,False,False,-255.0,255.0,3.516,97.00842942243564,62,145,True
generated_0098,False,True,True,False,,,7.588200792949153,79.52518763166302,9,73,True
generated_0099,False,False,False,False,,,6.522174322939774,21.640948664703984,0,109,False
